TEXT,REACTION
I honestly feel replaced 😢,negative
forever cheering you on 🥳,positive
yeah I’m neutralon that,neutral
that’s the last straw 😤,negative
I just feel really cared for rn 🥰,positive
okay then,neutral
I can’t take this much longer 😞,negative
this moment is everything 💗,positive
"alright, if you say so",neutral
emotionally drained by all this,negative
heart full of gratitude today 🫶,positive
your call,neutral
you promised and broke it again 😠,negative
you’ve made my day more than once 🥹,positive
doesn’t really matter to me,neutral
I’m so embarrassed about today 😣,negative
feeling super thankful 💐,positive
either way’s fine,neutral
don’t even know what to say anymore 😞,negative
forever grateful for this moment 💖,positive
I’m good with whatever you decide,neutral
that was totally out of line 😤,negative
wow you really made my heart full today,positive
I’m totally chill with that,neutral
that seriously crossed the line 😡,negative
your effort really showed today 🏆,positive
I don’t have a strong feeling,neutral
how could you say that 😔,negative
I felt so uplifted thanks to you ✨,positive
"it’s whatever, really",neutral
I honestly feel replaced 😢,negative
forever cheering you on 🥳,positive
yeah I’m neutralon that,neutral
that’s the last straw 😤,negative
I just feel really cared for rn 🥰,positive
okay then,neutral
I can’t take this much longer 😞,negative
this moment is everything 💗,positive
"alright, if you say so",neutral
emotionally drained by all this,negative
heart full of gratitude today 🫶,positive
your call,neutral
this really messed with my head,negative
I’ve never felt more supported 🧡,positive
no particular thoughts,neutral
absolutely over this nonsense 😠,negative
that hug saved my mood 🫂,positive
can’t say it matters much,neutral
that was pure emotional damage,negative
I’m melting from that cuteness 🐶,positive
no strong opinion,neutral
wish I never said anything 😓,negative
I’m glowing with happiness 🌞,positive
hmm okay I guess,neutral
I feel totally unheard and unseen 😔,negative
this means the world to me 💘,positive
your pick,neutral
this made me feel disposable 😞,negative
I’m feeling the love big time 🫶,positive
I suppose that’s fine,neutral
emotionally exhausted by this,negative
just wanted to say thank you 🤗,positive
yeah... no big feelings here,neutral
why are you being this way 😢,negative
happiest I’ve been all week 💫,positive
not really leaning either way,neutral
you're totally ignoring how I feel 😡,negative
I feel super cared for rn 💛,positive
let’s not stress it,neutral
that straight up sucked 😣,negative
can’t thank you enough 🙏,positive
up to you,neutral
that really crossed the line 😤,negative
I felt a deep sense of peace today 🕊,positive
totally indifferent,neutral
I feel like no one’s listening 😔,negative
this just made everything better 💖,positive
that’s fine I guess,neutral
how could you forget again? 😠,negative
overwhelmed with gratitude rn 🫶,positive
"ok, whatever you decide",neutral
I genuinely feel dismissed rn,negative
you’re a breath of fresh air 🌈,positive
I’m cool either way,neutral
this is becoming too much to handle 😩,negative
you make life a little brighter 😊,positive
alright then,neutral
I’m constantly being overlooked,negative
your words lifted my spirit today 🌟,positive
I don’t really care tbh,neutral
you really hurt my feelings today 🥺,negative
I feel genuinely appreciated rn 💛,positive
it doesn’t matter,neutral
that was pretty cold of you,negative
I’m riding high today! 🥳,positive
I’ll stay neutralon this one,neutral
can’t keep pretending I’m okay 😞,negative
this filled me with joy 💫,positive
got no opinion on that,neutral
not feeling like myself rn,negative
genuinely happy for you today 😊,positive
whatever works for you,neutral
I feel so small right now 😔,negative
I’m radiating good vibes 🌞,positive
kind of on the fence about it,neutral
that made me feel invisible 🫥,negative
you completely brightened my day 🌈,positive
no strong opinion,neutral
I’m frustrated beyond words 😠,negative
thank you for showing up for me ❤,positive
doesn’t matter much to me,neutral
another disappointment today 😒,negative
feeling all kinds of joy rn ✨,positive
I’ll just stay out of it,neutral
emotionally exhausted from this convo 😩,negative
you made my heart melt today 🥹,positive
whatever floats your boat,neutral
I’m not okay right now,negative
can’t stop smiling thanks to you 😊,positive
it doesn’t bother me,neutral
genuinely feel let down again 😢,negative
you light up every room you walk into 💫,positive
I’ll let you handle it,neutral
it’s really hurtful when you act like this,negative
my heart is full today 🫶,positive
doesn’t make a big difference,neutral
that left me completely shattered 😞,negative
I’m feeling really peaceful today ☁,positive
not leaning one way or another,neutral
felt pretty abandoned there 😔,negative
absolutely buzzing with excitement 🤩,positive
"okay, leave it with me",neutral
I really don’t know why you keep ignoring me,negative
That moment was honestly one of the best I’ve had,positive
"Not sure how to respond, but I’ll think it over",neutral
You made me feel small with that comment yesterday,negative
"You’ve been incredibly kind to me, and I appreciate it so much",positive
I guess we’ll figure it out eventually,neutral
I didn’t expect you to completely shut me out like that,negative
Your support today meant more than you could possibly know,positive
I don’t really have an opinion about this situation,neutral
I’m honestly hurt by how casually you dismissed my feelings,negative
That message genuinely lifted my spirits when I needed it most,positive
I’ll respond later once I’ve had more time to think,neutral
I'm upset that you didn’t even try to understand my point of view,negative
You seriously made me feel like I was worth something today,positive
I have no particular preference for how we move forward,neutral
It was really painful hearing those words from someone I trust,negative
I'm filled with gratitude for how you showed up for me today,positive
Let me know whenever you’re ready to chat again,neutral
I can't keep pretending like everything's fine when it's not,negative
That gesture made me feel deeply appreciated and loved,positive
I’m open to whatever you feel is best right now,neutral
"Honestly, I’m tired of being the one who cares more",negative
You made me smile in the middle of a really tough moment,positive
I think we should just take a break and breathe,neutral
It really broke me when you didn’t even say goodbye,negative
That surprise message brought tears to my eyes in the best way,positive
"I’m kind of neutral, but happy to support your choice",neutral
I’m so frustrated that you didn’t follow through again,negative
You always know just what to say to lift me up,positive
"I don’t feel strongly either way, so I’ll go with the flow",neutral
"Honestly, I’ve been feeling pretty ignored lately and it really hurts",negative
You have no idea how much that message cheered me up today,positive
I’m not sure how I feel about the whole situation just yet,neutral
I’ve tried my best but it never seems good enough for you 😞,negative
What you said earlier made me feel truly valued and understood,positive
I’ll go with whatever decision seems the most logical to you,neutral
That argument left me feeling emotionally drained for the rest of the day,negative
Seeing how much you care genuinely brightened my entire mood today 😊,positive
I’m kind of undecided but willing to hear all sides,neutral
I never expected you to walk away without even saying goodbye,negative
Your encouragement gave me the confidence I didn’t know I needed,positive
I don’t really lean one way or the other about this decision,neutral
I keep thinking about how alone I felt during that conversation 😔,negative
That thoughtful reply restored a bit of hope in my day,positive
Let’s touch base once everything settles down a bit,neutral
It’s hard not to feel completely dismissed when you say things like that,negative
"You absolutely nailed the tone—it felt warm, genuine, and reassuring 💬",positive
I’m open to discussing it further if you think it’ll help,neutral
"Every time you forget, it feels like I don’t matter at all 😣",negative
You showed such patience today and I deeply appreciate that kindness 🙌,positive
I'm neither for nor against it—just trying to stay neutral,neutral
The silence from you lately has been honestly devastating,negative
That message was like a warm hug I didn’t know I needed 🫂,positive
Let’s take it slow and see how things unfold,neutral
I’m tired of always being the one who reaches out first 😐,negative
You made me smile when my whole day felt heavy and dark 🕯,positive
"I’m still processing everything that happened, so I don’t have an answer yet",neutral
I felt completely abandoned when I needed you the most,negative
"That message brought so much warmth, I felt truly seen and loved ❤",positive
I’ll keep my thoughts to myself for now until things settle down,neutral
He tied his shoes today 👟,positive
We played catch in the yard ⚾,positive
She hugged me before school 🤗,positive
He helped fold clothes 🧺,positive
They shared their snacks 🍎,positive
Morning giggles from the baby 😄,positive
She drew a happy sun ☀️,positive
We built a fort with pillows 🛏️,positive
The kids sang together 🎶,positive
Our walk was peaceful 🚶‍♀️,positive
She planted her first seed 🌱,positive
He wrote 'I love you' 💌,positive
Helped grandma with groceries 🛒,positive
They danced in the rain 🌧️,positive
She counted to ten aloud 🔟,positive
He waved at the neighbors 👋,positive
We had popcorn and stories 🍿,positive
They hugged each other tight 🤝,positive
Baby clapped for the first time 👏,positive
She tied her own ponytail 🎀,positive
He set the table neatly 🍴,positive
Watched stars with dad 🌟,positive
She smiled in her sleep 😴,positive
He zipped his jacket alone 🧥,positive
A peaceful nap after lunch 💤,positive
Brushed his teeth 🪥,neutral
Ate lunch at noon 🍛,neutral
Tied her hair back 🎀,neutral
Put toys in the box 🧸,neutral
Read a book together 📖,neutral
Sat on the swing quietly 🪑,neutral
Poured milk into the glass 🥛,neutral
Looked out the window 🌤️,neutral
Held a crayon gently 🖍️,neutral
Took off shoes at door 🚪,neutral
Patted the cat softly 🐱,neutral
Watched clouds move ☁️,neutral
Closed the toy box 🧰,neutral
Turned off the light 💡,neutral
Counted fingers slowly ✋,neutral
Opened the fridge 🚪,neutral
Drank water quietly 🚰,neutral
Put on school shoes 👞,neutral
Arranged books in shelf 📚,neutral
Watered the garden plants 🌿,neutral
He cried after falling 😢,negative
She spilled water on bed 💧,negative
Fought over the blue car 🚗,negative
Dropped the bowl on floor 🍽️,negative
Didn’t want to eat lunch 😕,negative
Refused to nap 😠,negative
Scribbled on the table 🖊️,negative
Yelled during dinner 🍲,negative
Said no to everything 🙅,negative
Broke her toy accidentally 🧩,negative
He hit his brother 😔,negative
Slammed the door loudly 🚪,negative
Threw blocks on the floor 🧱,negative
Spilled juice on rug 🧃,negative
Tore the drawing paper 📝,negative
Kicked the ball indoors ⚽,negative
Got scared of thunder 🌩️,negative
Refused to wear shoes 👣,negative
Woke up crying 😭,negative
Bit his lip while chewing 😬,negative
She stepped on a toy painfully 😣,negative
He lost his water bottle 🍼,negative
Cried after losing a game 😢,negative
Got a paper cut 📄😖,negative
Broke his pencil in class ✏️😞,negative
She spilled paint on her dress 🎨😓,negative
Forgot his lunchbox at home 😟,negative
Argued with sister over TV 😤,negative
Missed the school bus 🚌😩,negative
Dropped the cake before party 🎂😫,negative
Baby woke up too early 🌅🥱,neutral
Waited at the bus stop 🚌,neutral
Picked a book from the shelf 📘,neutral
Sharpened a crayon tip 🖍️,neutral
Put a bandage on a cut 🩹,neutral
Counted marbles in a jar 🔵,neutral
Washed hands before lunch 🧼,neutral
Stared at the goldfish quietly 🐟,neutral
Stacked blocks one by one 🧊,neutral
Folded a drawing in half 📄,neutral
She hummed while drawing 🎶,positive
They smiled during storytime 📚,positive
He clapped for his friend 👏,positive
Hugged his puppy tightly 🐶,positive
She shared her crayons 🖍️,positive
Watched birds fly past 🐦,positive
They high-fived after the game ✋,positive
He helped pick up trash 🗑️,positive
They sang birthday song 🎂🎵,positive
She waved to grandpa 👋,positive
Sat quietly while waiting ⏳,neutral
Lined up at the school gate 🚶,neutral
Picked up a leaf 🍂,neutral
Folded her blanket neatly 🛏️,neutral
Looked at the wall clock 🕒,neutral
He handed out birthday cards 🎂,positive
They made paper boats together 🚤,positive
She zipped her bag 👜,neutral
He spilled her soup 🥣,negative
She helped set the table 🍽️,positive
We stood in a queue 🧍,neutral
He dropped his school bag 🎒,negative
We watched cartoons after dinner 📺,positive
She touched the mirror 🪞,neutral
They fought over crayons 🖍️,negative
He shared his juice box 🧃,positive
He looked at the fish tank 🐠,neutral
He yelled at his brother 😠,negative
They cleaned their room together 🧹,positive
She counted the pencils ✏️,neutral
She broke her glasses 🤓,negative
She sang to the baby 🎵,positive
They picked matching socks 🧦,neutral
He scribbled on homework 📄,negative
He helped carry the bags 🛍️,positive
He closed the umbrella ☂️,neutral
They cried in the car 🚗,negative
We clapped after the puppet show 👏,positive
We waited for the light 🚦,neutral
She fell off the swing 🛝,negative
She smiled at the puppy 🐶,positive
She peeled a banana 🍌,neutral
He tore his paper hat 🧢,negative
He danced to the music 🎶,positive
He blinked at the sun ☀️,neutral
She tripped over her shoes 👠,negative
They picked flowers from the yard 🌼,positive
They knocked on the door 🚪,neutral
He refused to say sorry 🙅‍♂️,negative
She painted her nails 💅,positive
She rolled the toy car 🚗,neutral
She slammed her book shut 📚,negative
He found a shiny rock 🪨,positive
He hung his jacket 🧥,neutral
They pushed each other 😤,negative
She skipped down the street 🏃‍♀️,positive
We rinsed the plates 🍽️,neutral
He got scared of the clown 🤡,negative
We ate mangoes under the tree 🥭,positive
She tapped on the glass 🔍,neutral
She hid under the bed 🛏️,negative
They shared stickers 📎,positive
He removed his shoes 👟,neutral
He was late for school 🕗,negative
He offered his last cookie 🍪,positive
They read a map 🗺️,neutral
She scratched her knee 🤕,negative
She comforted her friend 🤗,positive
She flipped the page 📖,neutral
He lost his toy truck 🚛,negative
They made a thank-you card ✉️,positive
He watched the ceiling fan 🌀,neutral
She screamed during nap time 😖,negative
She hummed while drawing 🎶,positive
They smiled during storytime 📚,positive
He clapped for his friend 👏,positive
Hugged his puppy tightly 🐶,positive
She shared her crayons 🖍️,positive
Watched birds fly past 🐦,positive
They high-fived after the game ✋,positive
He helped pick up trash 🗑️,positive
They sang birthday song 🎂,positive
She waved to grandpa 👋,positive
Sat quietly while waiting ⏳,neutral
Lined up at the school gate 🚶,neutral
Picked up a leaf 🍂,neutral
Folded her blanket neatly 🛏️,neutral
Looked at the wall clock 🕒,neutral
Baby woke up too early 🥱,neutral
Waited at the bus stop 🚌,neutral
Picked a book from the shelf 📘,neutral
Sharpened a crayon tip 🖍️,neutral
Put a bandage on a cut 🩹,neutral
Counted marbles in a jar 🔵,neutral
Washed hands before lunch 🧼,neutral
Stared at the goldfish quietly 🐟,neutral
Stacked blocks one by one 🧊,neutral
Folded a drawing in half 📄,neutral
Missed the school bus 😩,negative
Dropped the cake before party 😫,negative
Bit his lip while chewing 😬,negative
Got a paper cut 😖,negative
Broke his pencil in class 😞,negative
Spilled paint on her dress 😓,negative
Forgot his lunchbox at home 😟,negative
Argued with sister over TV 😤,negative
Ran into the couch accidentally 😵,negative
Screamed at bedtime 😫,negative
Bumped into a table 😢,negative
Lost her hairclip 😞,negative
Cried during the cartoon 😢,negative
Threw blocks on the rug 😡,negative
Slammed the door hard 😠,negative
Knocked over a cup of milk 😖,negative
Hid behind the curtain 😟,negative
She waved goodbye from the window 👋,positive
He offered me his candy 🍬,positive
They colored together happily 🎨,positive
She smiled while brushing her doll's hair 🪮,positive
He helped tie his sister's shoelace 👟,positive
They built a Lego tower together 🧱,positive
She danced in her pajamas 💃,positive
He shared his water bottle 💧,positive
They sang a nursery rhyme 🎶,positive
She held her mom's hand tightly 🤝,positive
He put toys back in the bin 🧸,positive
She smiled at the new baby 👶,positive
He laughed while swinging 🛝,positive
She handed me a flower 🌸,positive
They hugged each other after a game 🤗,positive
He kissed his baby brother 💋,positive
They raced on their bikes 🚴,positive
She said thank you politely 🙏,positive
He cleaned up the spilled water 💦,positive
They smiled during the story 📘,positive
She stood near the window quietly 🪟,neutral
He drank from his water bottle 🍼,neutral
They walked through the hallway 🚶,neutral
She sat down on the floor 🪑,neutral
He looked at the drawing board 📋,neutral
She tapped her foot impatiently 🦶,neutral
He blinked at the bright light 💡,neutral
She opened the pencil box ✏️,neutral
He folded the napkin neatly 🍽️,neutral
They waited for the teacher patiently 🧍,neutral
He forgot to wear socks 🧦,negative
She spilled milk on her book 🥛📖,negative
They shouted during class 📢,negative
He stepped on his toy car 🧸😣,negative
She cried when her balloon popped 🎈😭,negative
He lost his pencil case ✏️😞,negative
She got mud on her shoes 👞😟,negative
They tore the paper craft 📄💔,negative
He fell while running 🏃‍♂️😢,negative
She yelled at her little brother 😠,negative
He offered his snack to his friend 🍪,positive
They clapped after the puppet show 🎭👏,positive
She watched the sunset with mom 🌇,positive
He whispered a joke to me 🤫,positive
They enjoyed the bubbles in the bath 🛁,positive
She hummed while painting 🎨🎵,positive
He tucked in his shirt properly 👕,positive
She pet the neighborhood cat 🐱,positive
They waited quietly in line 🚶‍♀️,neutral
He stared at the fish in the pond 🐟,neutral
She counted the blocks aloud 🔢,neutral
They stood beside the bench 🪑,neutral
He blinked at the bright flash 💥,neutral
She opened the classroom window 🪟,neutral
He sniffled during reading time 🤧,neutral
They tiptoed into the room 🤫,neutral
She bumped into her desk 😓,negative
He dropped his lunch on the floor 🍱😩,negative
They argued about the last toy 😡,negative
She got paint on her hair 🎨😬,negative
He pouted after losing the game 😞,negative
She stomped away from the room 😠,negative
They yelled at each other loudly 😤,negative
He got scolded for being late 😟,negative
She slipped on the wet floor 😣,negative
They dropped all the crayons 🖍️😓,negative
He gave his toy to a friend 🧸,positive
She helped zip her brother's jacket 🧥,positive
They cheered for their team 🥳,positive
He brushed his teeth without help 🪥,positive
She opened the storybook 📖,positive
They shared the last slice of cake 🍰,positive
He made a paper airplane ✈️,positive
She tied her ponytail 🎀,positive
He waited patiently in the hallway 🚶‍♂️,neutral
She fixed the puzzle pieces 🧩,neutral
He zipped up his bag 🎒,neutral
They sat on the floor mats 🪑,neutral
She arranged her books 📚,neutral
He stared at the ceiling fan 🌀,neutral
She dropped her juice box 😓,negative
He tore his homework accidentally 😖,negative
She cried after the toy broke 😭,negative
He lost his notebook 😞,negative
They spilled popcorn on the couch 🍿😩,negative
She scratched her arm while playing 🤕,negative
He slipped while running inside 😬,negative
She shouted during nap time 😠,negative
He tripped over his shoelace 👟😣,negative
They yelled at the TV during a cartoon 📺😤,negative
He gave a toy to his sister 🧸❤️,positive
She kissed her teddy bear goodnight 🧸💤,positive
They built sandcastles at the beach 🏖️,positive
He colored inside the lines 🎨✅,positive
She found a ladybug and smiled 🐞😊,positive
He put away his shoes properly 👞,positive
She smiled at the rainbow 🌈,positive
They laughed during the game 😄🎲,positive
He helped with the groceries 🛒,positive
She shared her favorite book 📚💖,positive
She closed her notebook quietly,neutral
He painted with blue and green colors,positive
They jumped over puddles together,positive
She braided her doll's hair neatly,positive
He packed his bag before dinner,neutral
They lined up after the bell rang,neutral
She folded her sweater and kept it aside,neutral
He circled the right answer,positive
They whispered secrets under the table,neutral
She placed the book on the shelf,neutral
He turned off the light before leaving,positive
They played hide and seek indoors,positive
She hummed a lullaby while waiting,positive
He erased the chalkboard carefully,neutral
They matched the socks by color,neutral
She dusted the toy shelf lightly,neutral
He traced the drawing with a pencil,neutral
They practiced spelling together,positive
She tied the gift box with ribbon,positive
He fetched a glass of water,neutral
They stacked their plates after lunch,positive
She helped him button his shirt,positive
He drew a house with a chimney,positive
They repeated the rhyme together,positive
She poured cereal into the bowl,neutral
He scribbled on the notepad,neutral
They watched the ants on the ground,neutral
She wrapped her scarf before leaving,neutral
He counted his marbles in a jar,positive
They watered the small plants,positive
She peeked behind the curtain,neutral
He locked the cupboard,neutral
They separated the pencils by color,positive
She placed her shoes neatly,positive
He covered the jar with a lid,neutral
They stirred the batter with a spoon,positive
She waited near the kitchen door,neutral
He tapped the drum twice,neutral
They washed their paintbrushes,positive
She brushed crumbs off the table,neutral
He straightened his collar,neutral
They held hands while walking,positive
She turned the page slowly,neutral
He filled his bottle at the sink,neutral
They dusted the chairs,neutral
She watched the clothes dry,neutral
He poked a hole in the paper,negative
They folded the paper stars,positive
She lifted the lid gently,neutral
He pulled the drawer open,neutral
They stacked cups in a row,positive
She counted stars on the ceiling,neutral
He tied his shoelaces again,neutral
They handed out papers in class,positive
She marked her name on the sheet,neutral
He jumped onto the last step,positive
They balanced books on their heads,positive
She smiled after finishing her drawing,positive
He arranged blocks by size,positive
They took turns at the swing,positive
She placed her cup in the sink,neutral
He rubbed his eyes sleepily,neutral
They measured the water with a jug,neutral
She walked beside her mother,positive
He opened the snack box slowly,neutral
They pushed the table back,neutral
She adjusted the chair cushion,neutral
He cleaned his spectacles,neutral
They checked the toy basket,neutral
She labeled her drawing with her name,positive
He painted stripes on the wall,positive
They leaned against the door,neutral
She bent to pick up a coin,neutral
He flipped the card over,neutral
They patted the puppy's head,positive
She trimmed the paper edge,neutral
He dropped the spoon on the floor,negative
They waited for the story to start,neutral
She shook the juice bottle,neutral
He ran to fetch the towel,neutral
They opened the puzzle box,positive
She organized her color pencils,positive
He taped the torn page,positive
They stood quietly in line,neutral
She fixed the toy wheels,positive
He stared at the moving fan,neutral
They clapped at the right moment,positive
She turned her chair to the side,neutral
He poured water into the mug,neutral
They knelt near the sandbox,neutral
She stacked the empty boxes,neutral
He circled the right number,positive
They checked their bags for pencils,neutral
She zipped the pouch slowly,neutral
He peeled the sticker off carefully,neutral
They arranged the chairs in a circle,neutral
She tugged at her sleeves,neutral
He kicked the small ball under the bed,neutral
They stepped over the cushion,neutral
She rolled the blanket tightly,neutral
He counted the cookies on the plate,neutral
She opened her diary to write a note,positive
They traced shapes on the floor,positive
He balanced the pencil on his finger,positive
She carefully closed the window,neutral
They looked out the window silently,neutral
He touched the warm cup on the table,neutral
She placed a bookmark inside the book,neutral
They bent over to tie their shoelaces,neutral
He stirred the soup in the bowl,neutral
She combed her hair in front of the mirror,neutral
They picked crayons from the box,positive
He rubbed the window to clear the fog,neutral
She stretched her arms after waking up,neutral
They waited for their turn patiently,positive
He adjusted the time on the clock,neutral
She straightened the edge of the carpet,neutral
They poured juice into small cups,neutral
He opened the lid of the toy box,neutral
She clutched the pillow while resting,neutral
They closed the notebook after class,neutral
He clicked the pen twice,neutral
She tore a page from her notebook,negative
They rolled a dice to begin the game,positive
He dropped water on his drawing,negative
She held the kitten carefully,positive
They listened to the story quietly,positive
He leaned on the desk with both elbows,neutral
She clapped when the song ended,positive
They cleaned up after painting,positive
He flipped through the magazine quickly,neutral
She looked for her missing sock,neutral
They turned on the fan in the room,neutral
He picked up the paper from the floor,positive
She filled the cup halfway,neutral
They rearranged the cushions on the couch,neutral
He placed a lid on the food container,neutral
She unzipped her backpack slowly,neutral
They opened the lunchboxes together,positive
He cleaned the mud off his shoes,positive
She placed the puzzle piece correctly,positive
They whispered a plan before the game,positive
He stacked the books by height,neutral
She reached for the highest shelf,neutral
They cheered after solving the puzzle,positive
He leaned closer to hear the instructions,neutral
She dropped her pen accidentally,negative
They wrapped the gift box carefully,positive
He folded the paper airplane,positive
She closed the curtain to block the sun,neutral
They clapped after the short skit,positive
He peeped into the cupboard curiously,neutral
She tied her scarf before stepping out,neutral
They packed the toys in the storage box,positive
He scooped rice onto his plate,neutral
She wiped her face with a napkin,neutral
They placed their feet on the welcome mat,neutral
He opened the snack packet loudly,neutral
She clicked the light switch twice,neutral
They watched the clock hands move,neutral
He polished his school shoes,positive
She painted dots on the cardboard,positive
They helped clean the craft table,positive
He leaned against the wall while waiting,neutral
She searched for her missing eraser,neutral
They carefully cut the colored paper,positive
He touched the cold window glass,neutral
She smiled after solving the question,positive
They sang softly during cleanup time,positive
He adjusted the curtain’s edge,neutral
She placed a note inside her pencil box,neutral
They organized toys into the right basket,positive
He scribbled names on the whiteboard,neutral
She pushed the chair gently,neutral
They waved as they left the classroom,positive
He nodded after understanding the question,positive
She picked up broken pieces of chalk,negative
They leaned in to hear the whisper,neutral
He sharpened his pencil slowly,neutral
She gently closed the bathroom door,neutral
They cleaned their shoes with tissues,positive
He spread glue on the paper evenly,neutral
She smiled while coloring the sketch,positive
They turned the calendar page,neutral
He dropped his lunchbox accidentally,negative
She clapped softly at the performance,positive
They crossed arms in fun,positive
He passed the ball under the table,neutral
She held her drawing up for display,positive
They carefully peeled the sticker off,neutral
He dried his hands with a towel,neutral
She lifted the tray and walked away,neutral
They followed the footprints in mud,positive
He leaned over to reach the light switch,neutral
She stacked the cups without noise,neutral
They dusted the bookshelves together,positive
He looked up and counted clouds,positive
She buttoned up her coat,neutral
They packed away their books for the day,neutral
He flipped the chair upright again,neutral
Do you have this in a smaller size? 🧾,neutral
Is there any discount on this item? 🛍️,positive
Where can I find the checkout? 🛒,neutral
This is exactly what I needed! 😊,positive
Why is this so expensive? 😠,negative
Can I return this if it doesn’t fit? 🤔,neutral
It’s out of stock again? 😤,negative
The staff was really helpful! 🎉,positive
I love this new collection. 😍,positive
Do you accept digital payments? 📦,neutral
These prices are unbelievable! 👍,positive
Could you help me with the bill? 🧾,neutral
"I’m just browsing, thank you. 😐",neutral
That’s a great deal! 🛍️,positive
I’ll think about it and come back. 🛒,neutral
This doesn't match the online price. 😕,negative
The fitting room is full. 😤,negative
I got a membership discount! 🎉,positive
This quality feels premium. 😍,positive
I was looking for something like this. 😊,positive
This item is on clearance? 📦,neutral
It looks better online. 🙄,negative
The cashier was really polite. 👍,positive
I’ll check the price scanner. 🧾,neutral
Is this buy-one-get-one-free? 🤔,neutral
I saw this cheaper elsewhere. 😕,negative
"Wow, that’s a good price! 🛍️",positive
Do you have any loyalty points system? 🛒,neutral
This is way out of my budget. 😠,negative
I need help finding the aisle. 📦,neutral
This just went on sale! 🎉,positive
I’m going to use a gift card. 😊,positive
Is this item refundable? 🤔,neutral
How long is the return period? 🧾,neutral
This color suits me well. 😍,positive
I need a different size. 📦,neutral
The line is too long. 😠,negative
Can I get this gift-wrapped? 🛍️,positive
Do you charge for carry bags? 🛒,neutral
I found this on your app. 📦,neutral
It's too crowded today. 😤,negative
I love the layout of this store. 😍,positive
Can I pay by UPI? 🤔,neutral
The app shows a different price. 😕,negative
The trial room is clean. 👍,positive
It’s hard to find assistance. 😠,negative
Thank you for the quick service! 🎉,positive
I forgot my loyalty card. 😐,neutral
These shelves are messy. 🙄,negative
I found everything I needed. 😊,positive
Are there more colors available? 🧾,neutral
I’m paying with a gift voucher. 📦,neutral
These tags are confusing. 😕,negative
This is perfect for gifting! 🛍️,positive
Where’s the billing counter? 🛒,neutral
This store has good lighting. 👍,positive
It's too noisy here. 😠,negative
I like how things are arranged. 😊,positive
I couldn’t find parking. 😤,negative
Do you take card payments? 🤔,neutral
This is cheaper than I expected! 🎉,positive
Your website says it's in stock. 🙄,negative
Do you have a festive offer? 🛍️,positive
My cart is full now. 🛒,neutral
This size is perfect. 😍,positive
Can I get a paper bag? 🧾,neutral
This is the last piece? 😕,negative
I’m so happy with this find! 🎉,positive
Please keep this aside for me. 🤔,neutral
This was not marked clearly. 😠,negative
Do you validate parking tickets? 📦,neutral
This mirror is too small. 😤,negative
What’s your return window? 🧾,neutral
I got a freebie with this! 🛍️,positive
The staff here is slow. 😕,negative
I got everything under budget! 😊,positive
Can I try this on? 🤔,neutral
This material feels cheap. 😠,negative
I like the variety here. 😍,positive
The barcode isn’t scanning. 🙄,negative
This store smells nice. 🎉,positive
I can't find the price tag. 🧾,neutral
These hangers are broken. 😤,negative
I want this in another color. 🛍️,positive
Please call a store assistant. 📦,neutral
Why is the AC not working? 😠,negative
It was a smooth checkout. 😊,positive
Can I leave my bag here? 🤔,neutral
I had to wait too long. 😤,negative
This offer is awesome! 🎉,positive
Where do I queue up? 🧾,neutral
The billing took forever. 😠,negative
I'm coming back next weekend. 😊,positive
Can I split the bill? 🤔,neutral
There’s no mirror here. 🙄,negative
This bag is just my style. 😍,positive
You’ve run out of carry bags. 📦,neutral
Can you hold this at the counter? 🧾,neutral
Is this machine working? 🤔,neutral
Great value for money! 🛍️,positive
Do you have a trial room here? 🤔,neutral
I think I saw this item on sale last week. 🧾,neutral
Can someone assist me here? 📦,neutral
I love how organized everything is! 🎉,positive
This rack is empty again? 😕,negative
Thanks for the fast checkout. 😊,positive
This queue is way too long. 😤,negative
Your in-store playlist is great! 🛍️,positive
I can’t seem to find my size. 🤔,neutral
These shelves are really high. 😕,negative
This dress is absolutely stunning! 😍,positive
I'm not happy with the service. 😠,negative
Can I reserve this item for later? 🧾,neutral
Do you have this in red? 📦,neutral
The store looks festive today! 🎉,positive
This price tag is missing. 😕,negative
This is cheaper than expected! 😊,positive
The scanner isn't working. 😠,negative
Is there a mirror around? 🤔,neutral
You guys have great offers! 🛍️,positive
This corner is too dark. 😤,negative
I love shopping here. 😍,positive
Do you take Sodexo coupons? 🧾,neutral
The item is damaged. 😕,negative
I'm glad I stopped by today! 🎉,positive
Do you accept returns without a bill? 🤔,neutral
There's no staff in this section. 😠,negative
This deal is unbelievable! 🛍️,positive
Can I pay at the self-checkout? 📦,neutral
It’s freezing in here! 😤,negative
Your staff is very courteous. 😊,positive
Do you sell gift cards? 🧾,neutral
I can’t reach the top shelf. 😕,negative
I love your bag collection! 😍,positive
No one is responding. 😠,negative
You have such unique items! 🎉,positive
Can you gift wrap this for me? 🤔,neutral
The restroom is not clean. 😤,negative
I didn’t expect such good service. 😊,positive
This item isn’t scanning properly. 😕,negative
I’ll add this to my wishlist! 🛍️,positive
The card machine is down. 😠,negative
Do you offer same-day delivery? 🧾,neutral
I love the ambiance here. 😍,positive
The floors are slippery. 😤,negative
It’s always a great experience here. 🎉,positive
Can you show me more options? 🤔,neutral
There's no change at the counter. 😕,negative
I’ll recommend this place to friends! 😊,positive
Why is this area closed? 😠,negative
